Date,Open,High,Low,Close,Volume
2024-08-20,166.60968439878204,168.1142045967088,164.0126904856858,164.9326629638672,6222400
2024-08-21,165.7759637808865,167.57755394172887,164.90390915726675,166.9546661376953,6309500
2024-08-22,167.0313758615779,167.30927590016253,161.35825238513524,161.952392578125,6743500
2024-08-23,164.59725051789388,167.3379832379606,163.51438377839474,166.2646942138672,6823600
2024-08-26,164.79849553906212,165.1914011981975,161.50194833332654,162.4219207763672,7437600
2024-08-27,162.11524992804348,167.1654838288481,161.2527876886305,166.67674255371094,6498800
2024-08-28,167.108010230778,168.39212604378028,162.55609472229054,164.6835174560547,6534600
2024-08-29,166.18802460756442,169.0054228501981,161.8852616548217,162.4219207763672,12514200
2024-08-30,165.10515299608528,168.14297046884184,163.6772983603224,167.98963928222656,11110800
2024-09-03,164.72181116068572,164.98055566553657,155.24424633652134,156.4325408935547,11620300
2024-09-04,156.20255841519023,161.22404469826924,155.84799286975579,158.43539428710938,6737000
2024-09-05,157.08685630648822,159.70689822525583,155.90206258598232,157.68406677246094,5600000
2024-09-06,156.75934788722446,157.19280755157632,151.35551350329,152.37655639648438,10703000
2024-09-09,155.16998782516075,156.40294703749515,152.74260764352107,154.86175537109375,7494900
2024-09-10,154.12002801094013,156.10432101989596,151.8852805497265,155.73828125,7918100
2024-09-11,156.39331659326996,160.76646641256247,153.39760762411782,160.43896484375,8275400
2024-09-12,159.78397209406697,160.19816268778092,156.91347548047057,158.9170379638672,6039200
2024-09-13,159.7165400737625,162.1150387649665,159.36014214341157,161.56597900390625,4049900
2024-09-16,158.8688686558294,161.1903054608887,157.77076387595585,160.4871368408203,6510000
2024-09-17,162.67371312916185,163.27092360357432,159.97660938666436,162.5003204345703,5828000
2024-09-18,163.29020260754024,166.08362272895826,161.53707992450143,162.1150360107422,5877600
2024-09-19,168.01011330270242,170.3026536892411,166.15104730376052,167.5284881591797,10900000
2024-09-20,166.34369214498068,166.70973195241888,158.26202293519657,162.7122344970703,27546400
2024-09-23,162.23061040731727,163.73327849255688,159.2734396904486,159.86102294921875,9810000
2024-09-24,161.26738035351968,163.13608848293507,159.88029742455012,160.8146514892578,9666800
2024-09-25,160.1692624314068,162.39436832444565,159.66836814831385,162.0861358642578,5095500
2024-09-26,168.48211730103728,169.29124404376105,160.6508874820149,166.31480407714844,8475000
2024-09-27,166.642285221765,167.075744873776,163.58878384013576,163.8777618408203,5880700
2024-09-30,165.0722029970549,165.90059886199302,161.5852415343782,163.80072021484375,8099700
2024-10-01,163.5599077419926,164.031890993397,158.05011472003892,159.68763732910156,8277600
2024-10-02,160.04404164313698,163.51174882286497,159.080791281883,162.13430786132812,4484600
2024-10-03,159.85138000785642,163.2998177520477,159.57204389557074,162.7122344970703,6260200
2024-10-04,166.20883490591248,166.44964747033774,160.36189878661187,162.69296264648438,6586500
2024-10-07,161.47928020706394,162.51959229806835,159.6491105105765,160.8050079345703,4359300
2024-10-08,158.80144445797742,161.55634089369906,157.64554704186364,160.22705078125,7843500
